sample	avg_depth_GENOT_sites	n_GENOT_sites	n_missing_sites
L700_V16	28.9944472489	1981	79
L850_F01	21.9420946626	1986	74
L850_F02	37.6954545455	1980	80
L850_V01	17.7553299492	1970	90
L850_V02	56.1391619245	1933	127
L850_V03	28.7869017632	1985	75
L850_V04	35.230339929	1971	89
L850_V05	44.2210953347	1972	88
L850_V06	21.2018209408	1977	83
L850_V09	15.9887295082	1952	108
L850_V10	35.7753876938	1999	61
L850_V11	32.9386009059	1987	73
L850_V12	14.3831202046	1955	105
L850_V13	21.8044354839	1984	76
S1000_V01	25.7242409159	2009	51
S1000_V02	35.6926926927	1998	62
S1000_V03	29.9299649825	1999	61
S1000_V04	25.0513459621	2006	54
S1000_V05	42.8647294589	1996	64
S1000_V06	32.6825476429	1994	66
S1000_V07	37.3763224181	1985	75
S1000_V08	23.7072072072	1998	62
S1000_V09	24.5092085615	2009	51
S1000_V10	48.0641090358	1981	79
S1100_V01	9.76315789474	1672	388
S1100_V02	30.6935403105	1997	63
S1100_V03	24.8974614236	2009	51
S1100_V04	28.493993994	1998	62
S1100_V05	19.2827067669	1995	65
S1100_V06	44.8705	2000	60
S1100_V07	44.8085858586	1980	80
S1100_V08	51.3299646286	1979	81
S1100_V09	18.2975584944	1966	94
S1100_V10	33.1282180717	1981	79
S390_F01	54.9226491405	1978	82
S390_F02	45.0332829047	1983	77
S390_F03	44.5235235235	1998	62
S390_F04	31.2269076305	1992	68
S390_F05	37.3584810127	1975	85
S390_F06	10.3722627737	1644	416
S390_F07	9.15603799186	1474	586
S390_F08	5.79949874687	399	1661
S390_F09	40.879457559	1991	69
S390_F10	21.8034188034	1989	71
S480_F01	42.5551672491	2003	57
S480_F02	44.7224448898	1996	64
S480_F03	39.0791583166	1996	64
S480_F04	33.9063126253	1996	64
S480_F05	46.6540020263	1974	86
S480_F06	40.9111445783	1992	68
S480_F07	49.9191102123	1978	82
S480_F08	44.8053589484	1978	82
S480_F09	22.8203592814	2004	56
S480_F10	14.8442105263	1900	160
S600_F01	14.21167485	1833	227
S600_F02	19.4238241309	1956	104
S600_F03	9.48030987734	1549	511
S600_F04	14.370984456	1930	130
S600_F05	11.1491867639	1783	277
S600_F06	29.1341708543	1990	70
S600_F07	19.8207831325	1992	68
S600_F08	18.6932330827	1995	65
S600_V01	17.6485801217	1972	88
S680_F01	13.6582411796	1899	161
S680_F02	14.2658626114	1907	153
S680_F03	30.4300699301	2002	58
S680_F04	17.0188583078	1962	98
S680_F05	25.52	2000	60
S680_F06	18.5226693836	1963	97
S680_F07	23.4065934066	2002	58
S680_F08	22.1335703403	1969	91
S680_F09	14.9814049587	1936	124
S680_F10	18.894255211	1967	93
S680_V01	32.6404833837	1986	74
S680_V02	24.1832329317	1992	68
S680_V03	40.9769076305	1992	68
S680_V04	37.627	2000	60
S680_V05	40.6818866031	1993	67
S680_V06	12.9686028257	1911	149
S680_V07	20.5410821643	1996	64
S680_V08	14.0445259298	1909	151
S680_V09	30.0320962889	1994	66
S680_V10	18.04002001	1999	61
S800_F01	24.7626439659	1997	63
S800_F02	7.09170731707	1025	1035
S800_F03	19.3910866299	1997	63
S800_V02	11.3074761102	1779	281
S800_V03	12.5892203035	1911	149
S800_V04	34.380429356	2003	57
S800_V05	36.1708291708	2002	58
S800_V06	13.5228863759	1857	203
S800_V07	18.9487179487	1989	71
S880_V01	43.6446776612	2001	59
S880_V02	40.4365558912	1986	74
S880_V03	25.6865375062	2013	47
S880_V04	38.8475336323	2007	53
S880_V05	34.6988071571	2012	48
S880_V06	42.0752366716	2007	53
S880_V07	14.6353246753	1925	135
S880_V08	56.1153460381	1994	66
S880_V09	40.2904667329	2014	46
S880_V10	25.1481665015	2018	42
